Price,Close,High,Low,Open,Volume,Returns,SMA_20,SMA_50,Volatility,RSI,MACD,MACD_Signal
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,,,
Date,,,,,,,,,,,,
2022-09-12,136.4499969482422,136.49000549316406,134.0,134.10000610351562,53826900,,,,,,0.0,0.0
2022-09-13,126.81999969482422,131.39999389648438,126.2699966430664,131.00999450683594,72694000,-0.0705752837581286,,,,,-0.21605763068563988,-0.12003201704757771
2022-09-14,128.5500030517578,128.83999633789062,126.33000183105469,127.36000061035156,45316800,0.01364140798846103,,,,,-0.22165300550852862,-0.16167996313813135
2022-09-15,126.27999877929688,130.3699951171875,125.5,127.37999725341797,52887200,-0.0176585314552421,,,,,-0.30072337890601375,-0.20878139124378256
2022-09-16,123.52999877929688,123.87000274658203,120.69999694824219,122.77999877929688,115667800,-0.021777003694830932,,,,,-0.44678688192685456,-0.27958264382680015
2022-09-19,124.66000366210938,124.70999908447266,121.80000305175781,122.16000366210938,47279700,0.009147615105472573,,,,,-0.47787307734051865,-0.33333037604385024
2022-09-20,122.19000244140625,124.4000015258789,121.13999938964844,123.3499984741211,47698400,-0.019813903001303146,,,,,-0.6014729774551171,-0.40119011506736857
2022-09-21,118.54000091552734,123.76000213623047,118.44999694824219,122.48999786376953,58498900,-0.02987152347123645,,,,,-0.8482729925514718,-0.5086325379221731
2022-09-22,117.30999755859375,118.79000091552734,116.26000213623047,117.08000183105469,55229200,-0.010376272544574294,,,,,-1.0672954705660374,-0.6376864469040063
2022-09-23,113.77999877929688,116.05000305175781,112.05999755859375,116.0,65126700,-0.03009120154088929,,,,,-1.3889641240895543,-0.8060162582028787
2022-09-26,115.1500015258789,117.33999633789062,113.12999725341797,113.30000305175781,62723300,0.012040804722097675,,,,,-1.5289402373781087,-0.9641878941050146
2022-09-27,114.41000366210938,118.31999969482422,113.05000305175781,117.19999694824219,60094700,-0.006426381710496365,,,,,-1.651411573766751,-1.1117747194480634
2022-09-28,118.01000213623047,118.69999694824219,113.80000305175781,114.37999725341797,55763800,0.0314657666190894,,,,,-1.516975656592308,-1.19752931566045
2022-09-29,114.80000305175781,116.06999969482422,113.05999755859375,115.5999984741211,58969700,-0.027201076403397084,,,,20.9863488891679,-1.582685489999463,-1.2781042747032583
2022-09-30,113.0,116.91999816894531,112.83999633789062,114.08000183105469,59479600,-0.015679468675155683,,,,20.020471192463546,-1.7188620940290775,-1.369470501902555
